idx,symbol,direction,timeframe,timestamp,signal_final_pnl_pct,signal_mae_pct,signal_mfe_pct,optimum_final_pnl_pct,sl_final_pnl_pct
1,SBUX,Long,1-hour,2026-05-22 11:05:38+00:00,-1.5295429643397866,-3.9355374542460178,3.2316859508632048,,
2,FTNT,Short,4-hour,2026-05-22 11:02:03+00:00,2.6790486143148793,-0.8979583598128317,8.598201344326128,,
3,LLY,Short,1-hour,2026-05-22 11:02:03+00:00,-5.912638912407718,-9.069339278061204,2.2746825808639124,,
4,SWKS,Short,1-hour,2026-05-22 10:09:08+00:00,-2.763812567388318,-6.112384301470243,6.294099545765937,3.331302546604879,
5,SNPS,Short,1-hour,2026-05-22 10:02:03+00:00,9.74212432512945,-0.1184158207536172,13.776314616464774,,
6,ROST,Short,1-hour,2026-05-22 10:02:03+00:00,1.208646742665116,-2.0160605526453477,7.155644088644142,,
7,CRWD,Short,1-hour,2026-05-22 10:02:03+00:00,0.34736609903345944,-2.9777021446421825,7.223680924118599,,
8,AMD,Short,1-hour,2026-05-22 09:13:33+00:00,-9.192550947413809,-13.385116990575327,5.566412614898902,,
9,ANET,Short,1-hour,2026-05-22 09:02:03+00:00,-1.5326822630477417,-4.124907355496495,6.891350244583495,,
10,AAPL,Short,1-hour,2026-05-22 09:02:03+00:00,-0.3226980628090994,-2.672936537290753,2.9317151393974314,,
11,MRK,Short,1-hour,2026-05-22 08:02:03+00:00,1.317537340369635,-1.4555076858834533,7.298987600961492,,
12,LULU,Short,4-hour,2026-05-22 07:33:08+00:00,-3.111390247580947,-6.182793563103953,4.153652978722386,-1.6844178508641316,1.9062779748454168
13,KLAC,Short,1-hour,2026-05-21 11:51:49+00:00,-1.0542354704419703,-4.011043328755172,7.847382699640401,,
14,ASML,Short,1-hour,2026-05-21 08:02:04+00:00,-1.3787327762340325,-4.048251796747446,5.831340935311123,,
15,ANET,Long,Daily,2026-05-21 07:38:34+00:00,6.698941935898603,-1.4341078326991596,9.136784384606768,,
16,ADI,Long,1-hour,2026-05-20 12:02:06+00:00,9.415094649791184,-1.092411532447764,15.210625304175647,,
17,DXCM,Short,4-hour,2026-05-20 11:38:26+00:00,-1.206578448847272,-3.654272821466151,9.3486935291276,,
18,SYK,Short,4-hour,2026-05-20 07:54:11+00:00,2.926926371794001,-1.324216644770073,6.565324802367523,,
19,ALGN,Long,Daily,2026-05-20 07:33:06+00:00,13.166273566280271,-0.32552751414412306,16.459925205171256,,
20,LOW,Long,Daily,2026-05-20 07:33:06+00:00,2.8034248675967453,-1.9329116588401298,5.913288128674055,,
21,TJX,Short,1-hour,2026-05-20 07:33:06+00:00,0.8447220145872926,-1.9914429004630225,6.379439952710248,2.624051270220414,
22,CRM,Short,1-hour,2026-05-19 13:02:06+00:00,3.732411913606281,-2.4666681763522926,9.376918394514918,4.6169887637315865,7.288488277062035
23,COP,Short,4-hour,2026-05-19 12:32:41+00:00,8.220458153978006,-0.054925679666746684,10.53639703654039,,
24,REGN,Long,4-hour,2026-05-19 11:02:06+00:00,0.4875615135974537,-3.311860866281061,11.15184149607905,,
25,XOM,Short,4-hour,2026-05-19 11:02:06+00:00,6.943284181247018,0.0,10.014847836067792,,
26,BSX,Short,1-hour,2026-05-19 08:14:51+00:00,10.913896242634289,-0.3375161143398453,15.17376435809408,,
27,ABT,Short,1-hour,2026-05-19 08:14:51+00:00,3.4143464902941654,-0.7590787762621767,6.714416020744873,,
28,UNP,Short,1-hour,2026-05-18 13:08:14+00:00,3.2808173435333066,-1.5469921712475012,6.88115857851035,,
29,AMAT,Long,1-hour,2026-05-18 13:02:04+00:00,7.232855334242892,-0.71964751200472,12.197207941462423,,
30,LRCX,Long,1-hour,2026-05-18 12:12:19+00:00,11.424466486781466,-0.5585934167139766,18.231689190604303,,
31,OKTA,Short,1-hour,2026-05-18 12:02:04+00:00,-4.622225735199039,-7.567556912616226,5.849883319866458,,
32,DXCM,Short,1-hour,2026-05-18 12:02:04+00:00,-4.807690773923694,-8.108380441974468,4.543933872691227,-1.630472490356043,
33,MU,Long,1-hour,2026-05-18 10:02:04+00:00,28.00376854477272,0.0,37.407057572487005,,
34,ACN,Short,1-hour,2026-05-18 10:02:04+00:00,1.18495257632677,-3.7380720046096982,7.490827602879544,,
35,DOCU,Short,1-hour,2026-05-18 10:02:04+00:00,1.5540565537092337,-2.6776312383126677,9.397162167272402,,
36,CTAS,Short,1-hour,2026-05-18 09:02:04+00:00,1.0152420390766956,-1.629732455262139,6.410872604018732,,
37,TSLA,Long,1-hour,2026-05-18 08:50:24+00:00,8.320141373084953,-0.1675655172817528,13.517942280173889,,
38,ODFL,Short,1-hour,2026-05-18 07:52:04+00:00,-3.0493175999158337,-5.089611231540542,5.411129362206808,,
39,CSX,Short,1-hour,2026-05-18 07:52:04+00:00,1.394644467653223,-1.139705385308472,5.286944093288931,,
40,REGN,Long,1-hour,2026-05-18 07:33:09+00:00,5.802613176630626,-0.8015685750293737,14.663683656536895,6.113568790038757,
41,BKNG,Long,Daily,2026-05-18 07:33:09+00:00,9.766986370472168,-0.04314621268685548,12.302223931690275,,
42,HD,Long,4-hour,2026-05-15 12:35:13+00:00,7.371422214077571,-0.03697428192580043,11.098712326680632,,
43,CRWD,Short,1-hour,2026-05-15 11:02:03+00:00,-4.6220761133574575,-7.437212203363048,5.645544874860151,-2.7466919484195174,-1.6337373015131191
44,MSFT,Short,1-hour,2026-05-15 11:02:03+00:00,0.5154818872495062,-2.550645709415173,4.63452406677634,,
45,XOM,Short,1-hour,2026-05-15 11:02:03+00:00,5.89857427318522,-0.14946666842482864,8.708127569345443,8.593326364244462,9.042560867013929
46,NOW,Short,1-hour,2026-05-15 10:38:20+00:00,-6.995309922986875,-11.391357708123234,3.2691341861402945,1.0170576802671865,3.4802722120615917
47,COP,Short,1-hour,2026-05-15 10:02:03+00:00,5.767678335002379,-0.34147475845700725,8.769274450272574,8.237924779569346,
48,SYK,Short,1-hour,2026-05-15 08:02:03+00:00,2.8526823419834364,-1.7200895682242934,7.3635215389306525,3.526413553101951,
49,CRM,Short,1-hour,2026-05-15 08:02:03+00:00,-3.5237355669165624,-8.250846102773664,3.2061049209397288,-2.3027509735858565,-0.17879875627029557
50,HD,Long,Daily,2026-05-15 07:33:08+00:00,6.402194431448436,-0.26905936309695627,9.555408573538049,,
51,TMO,Long,Daily,2026-05-15 07:33:08+00:00,9.749393558513407,-0.9434433037952543,13.138705100603127,,
52,ADI,Short,Daily,2026-05-15 07:33:08+00:00,-0.7441736822581112,-6.981280226277997,4.5969284456484605,1.3610974922009809,
53,TXN,Long,1-hour,2026-05-15 07:33:08+00:00,3.5806563870329766,-3.513580569298006,8.242628025591117,4.867275046889068,
54,KLAC,Short,1-hour,2026-05-14 13:14:52+00:00,0.22293605491258361,-6.450976378689861,6.869648517981579,,
55,ADBE,Long,1-hour,2026-05-14 13:02:32+00:00,5.143204728736565,-0.8570006508332625,10.540987048830024,6.31590262493746,
56,FTNT,Short,1-hour,2026-05-14 12:02:02+00:00,-3.5377864160603743,-6.037682127070494,3.6961204965211616,,
