timestamp,balance,trade_pnl
2026-04-29 08:21:47+00:00,100052.25622962887,52.25622962886493
2026-04-29 08:39:47+00:00,100054.48379524291,2.2275656140382587
2026-04-29 09:02:02+00:00,100213.42981678786,158.94602154495695
2026-04-29 09:02:02+00:00,100168.608817295,-44.82099949286714
2026-04-29 09:02:02+00:00,100228.92724934421,60.318432049220554
2026-04-29 10:39:07+00:00,100197.09786324693,-31.82938609727714
2026-04-29 11:02:03+00:00,100272.3452732491,75.24741000215917
2026-04-29 11:02:03+00:00,100336.02673567373,63.681462424629984
2026-04-29 11:02:03+00:00,100386.1580608358,50.131325162070624
2026-04-30 07:33:10+00:00,100447.23865557436,61.080594738547305
2026-04-30 07:33:10+00:00,100504.9442166274,57.705561053031644
2026-04-30 07:39:45+00:00,100582.28576966318,77.34155303579455
2026-04-30 07:39:45+00:00,100712.64206790522,130.35629824204128
2026-04-30 08:13:26+00:00,100675.22365358987,-37.41841431535588
2026-04-30 09:02:06+00:00,100706.14360754058,30.919953950708543
2026-04-30 09:16:25+00:00,100720.48580589594,14.342198355360583
2026-04-30 09:18:50+00:00,100731.81732087352,11.331514977583542
2026-04-30 10:02:01+00:00,100623.3730063595,-108.44431451402157
2026-04-30 10:02:01+00:00,100629.16584142995,5.792835070448538
2026-04-30 10:02:01+00:00,100666.65118647546,37.48534504551666
2026-04-30 10:02:01+00:00,100700.6375168734,33.98633039793479
2026-04-30 10:09:30+00:00,100496.88571137525,-203.7518054981421
2026-04-30 11:02:01+00:00,100534.62443639578,37.7387250205311
2026-04-30 13:02:01+00:00,100513.5583584362,-21.066077959578028
2026-04-30 13:02:01+00:00,100625.25281688014,111.69445844393098
2026-05-01 07:33:15+00:00,100677.90779581804,52.654978937910656
2026-05-01 07:37:51+00:00,100735.9760388333,58.068243015246466
2026-05-01 08:02:00+00:00,100682.94806281671,-53.02797601659047
2026-05-01 10:02:02+00:00,100682.78393446602,-0.16412835068710113
2026-05-01 10:02:02+00:00,100642.10543963971,-40.67849482630811
2026-05-01 10:02:02+00:00,100634.08286062212,-8.022579017595847
2026-05-01 10:17:45+00:00,100607.07339406488,-27.0094665572421
2026-05-01 11:02:30+00:00,100598.41083456198,-8.662559502899864
2026-05-01 11:06:25+00:00,100673.56441584726,75.15358128527699
2026-05-01 11:41:15+00:00,100662.93565799014,-10.62875785712759
2026-05-01 12:02:05+00:00,100628.84005289337,-34.09560509677075
2026-05-01 12:02:05+00:00,100694.85548380048,66.01543090711182
2026-05-03 23:02:00+00:00,100680.97792127072,-13.87756252976288
2026-05-04 07:33:05+00:00,100698.74440357395,17.76648230322342
2026-05-04 07:33:05+00:00,100656.00939337138,-42.73501020256769
2026-05-04 07:33:05+00:00,100673.95746034697,17.948066975590038
2026-05-04 07:33:05+00:00,100666.07200001343,-7.885460333538401
2026-05-04 07:33:05+00:00,100670.99942285902,4.927422845593104
2026-05-04 11:02:06+00:00,100660.37550994018,-10.623912918852604
2026-05-04 11:02:06+00:00,100692.2845193204,31.90900938022611
2026-05-04 11:02:06+00:00,100699.15542531484,6.870905994436754
2026-05-04 11:02:06+00:00,100696.67653159624,-2.4788937185945255
2026-05-04 12:02:06+00:00,100802.4977227812,105.82119118496816
2026-05-04 13:05:20+00:00,100824.34197925763,21.84425647643134
2026-05-05 07:33:04+00:00,100783.39335737341,-40.94862188422564
2026-05-05 07:33:04+00:00,100753.67154815808,-29.72180921533843
2026-05-05 07:33:04+00:00,100776.45326662497,22.781718466890666
2026-05-05 07:33:04+00:00,100856.69807008975,80.24480346478607
2026-05-05 07:35:54+00:00,100878.62221317225,21.924143082488005
2026-05-05 08:02:05+00:00,100886.09709276444,7.474879592196502
2026-05-05 08:19:09+00:00,100675.9086921304,-210.18840063404605
2026-05-05 08:52:59+00:00,100664.66470547557,-11.243986654829468
2026-05-05 10:02:04+00:00,100658.41903248015,-6.2456729954213435
2026-05-05 10:02:04+00:00,100561.08679615449,-97.33223632565827
2026-05-05 11:02:04+00:00,100600.08789889929,39.00110274480404
2026-05-06 05:08:46+00:00,100603.13954279904,3.051643899749319
2026-05-06 06:02:06+00:00,100613.74164985261,10.602107053579882
2026-05-06 07:33:06+00:00,100580.70624613274,-33.03540371986817
2026-05-06 07:33:06+00:00,100575.94241695324,-4.763829179495281
